amazing : amazingly = apparent : apparently -> ['apparent', 'amazingly', 'extremly', 'alarmingly', 'evident']
happy : happily = infrequent : infrequently -> ['infrequent', 'happily', 'infrequently', 'occasional', 'rarely']
happy : happily = lucky : luckily -> ['lucky', 'happily', 'callously', 'innocently', 'greedily']
happy : happily = most : mostly -> ['most', 'third-most', 'second-most', 'fourth-most', 'happily']
happy : happily = obvious : obviously -> ['obvious', 'apparent', 'happily', 'apparant', 'evident']
happy : happily = occasional : occasionally -> ['occasional', 'happily', 'occasionally', 'occassional', 'innumerable']
happy : happily = possible : possibly -> ['possible', 'happily', 'conceivable', 'incrementally', 'potential']
happy : happily = precise : precisely -> ['precise', 'exact', 'happily', 'kerning', 'probabilistically']
happy : happily = professional : professionally -> ['professional', 'happily', 'semi-professional', 'semiprofessional', 'professional-level']
happy : happily = quick : quickly -> ['quick', 'happily', 'cursory', 'silently', 'brief']
happy : happily = quiet : quietly -> ['quiet', 'happily', 'quietly', 'silently', 'seclusion']
happy : happily = rapid : rapidly -> ['rapid', 'happily', 'rapidly', 'suburbanization', 'deindustrialization']
happy : happily = rare : rarely -> ['rare', 'happily', 'rarely', 'rarer', 'scarce']
happy : happily = reluctant : reluctantly -> ['reluctant', 'happily', 'reluctantly', 'hesitant', 'grudgingly']
happy : happily = safe : safely -> ['safe', 'happily', 'safer', 'safely', 'silently']
happy : happily = serious : seriously -> ['serious', 'happily', 'grievous', 'substantial', 'severe']
happy : happily = slow : slowly -> ['slow', 'happily', 'slowly', 'silently', 'slower']
happy : happily = sudden : suddenly -> ['sudden', 'happily', 'momentary', 'mid-race', 'silently']
happy : happily = swift : swiftly -> ['swift', 'happily', 'silently', 'momsen', 'frakes']
happy : happily = typical : typically -> ['typical', 'happily', 'typically', 'traditional', 'ready-to-use']
happy : happily = unfortunate : unfortunately -> ['unfortunate', 'happily', 'regrettable', 'unhappily', 'improbable']
happy : happily = usual : usually -> ['usual', 'happily', 'silently', 'standard', 'gracefully']
happy : happily = amazing : amazingly -> ['amazing', 'incredible', 'happily', 'astonishing', 'impressive']
happy : happily = apparent : apparently -> ['apparent', 'evident', 'happily', 'obvious', 'apparant']
happy : happily = calm : calmly -> ['calm', 'happily', 'silently', 'quietly', 'calmly']
happy : happily = cheerful : cheerfully -> ['happily', 'cheerful', 'soft-spoken', 'self-assured', 'vivacious']
happy : happily = complete : completely -> ['complete', 'happily', 'near-complete', 'partial', 'thorough']
happy : happily = efficient : efficiently -> ['efficient', 'happily', 'cost-efficient', 'environmentally-friendly', 'expeditious']
happy : happily = fortunate : fortunately -> ['happily', 'fortunate', 'unhappily', 'willingly', 'nobly']
happy : happily = free : freely -> ['free', 'freely', 'happily', 'free-of-charge', 'silently']
happy : happily = furious : furiously -> ['furious', 'happily', 'furiously', 'angrily', 'enraged']
immediate : immediately = infrequent : infrequently -> ['infrequent', 'immediately', 'infrequently', 'promptly', 'repetitively']
immediate : immediately = lucky : luckily -> ['lucky', 'immediately', 'promptly', 'instantly', 'soon']
immediate : immediately = most : mostly -> ['most', 'immediately', 'third-most', 'second-most', 'fourth-most']
immediate : immediately = obvious : obviously -> ['immediately', 'obvious', 'promptly', 'blatantly', 'instantly']
immediate : immediately = occasional : occasionally -> ['occasional', 'occasionally', 'immediately', 'periodically', 'regularly']
immediate : immediately = possible : possibly -> ['possible', 'immediately', 'soon', 'automatically', 'discretely']
immediate : immediately = precise : precisely -> ['precise', 'immediately', 'discretely', 'accurately', 'correctly']
immediate : immediately = professional : professionally -> ['professional', 'immediately', 'semi-professional', 'proffesional', 'semiprofessional']
immediate : immediately = quick : quickly -> ['quick', 'immediately', 'quickly', 'promptly', 'swiftly']
immediate : immediately = quiet : quietly -> ['quiet', 'immediately', 'quietly', 'calm', 'swiftly']
immediate : immediately = rapid : rapidly -> ['rapid', 'immediately', 'rapidly', 'swiftly', 'quickly']
immediate : immediately = rare : rarely -> ['rare', 'immediately', 'scarce', 'collectable', 'mysteriously']
immediate : immediately = reluctant : reluctantly -> ['reluctant', 'hesitant', 'unwilling', 'reluctantly', 'willing']
immediate : immediately = safe : safely -> ['safe', 'immediately', 'safer', 'safely', 'promptly']
immediate : immediately = serious : seriously -> ['serious', 'immediately', 'promptly', 'quickly', 'maturely']
immediate : immediately = slow : slowly -> ['slow', 'swiftly', 'slowly', 'immediately', 'quickly']
immediate : immediately = sudden : suddenly -> ['sudden', 'immediately', 'suddenly', 'instantly', 'swiftly']
immediate : immediately = swift : swiftly -> ['swift', 'immediately', 'swiftly', 'promptly', 'keltie']
immediate : immediately = typical : typically -> ['typical', 'immediately', 'typically', 'normally', 'usually']
immediate : immediately = unfortunate : unfortunately -> ['unfortunate', 'immediately', 'promptly', 'inexplicably', 'instantly']
immediate : immediately = usual : usually -> ['usual', 'immediately', 'promptly', 'blindly', 'soon']
immediate : immediately = amazing : amazingly -> ['amazing', 'immediately', 'awesome', 'instantly', 'incredible']
immediate : immediately = apparent : apparently -> ['immediately', 'apparent', 'instantly', 'promptly', 'evident']
immediate : immediately = calm : calmly -> ['calm', 'immediately', 'promptly', 'quietly', 'swiftly']
immediate : immediately = cheerful : cheerfully -> ['cheerful', 'sullen', 'talkative', 'headstrong', 'cheery']
immediate : immediately = complete : completely -> ['complete', 'immediately', 'promptly', 'completely', 'properly']
immediate : immediately = efficient : efficiently -> ['efficient', 'immediately', 'efficiently', 'quickly', 'cost-efficient']
immediate : immediately = fortunate : fortunately -> ['fortunate', 'immediately', 'swiftly', 'promptly', 'quickly']
immediate : immediately = free : freely -> ['free', 'immediately', 'freely', 'promptly', 'soon']
immediate : immediately = furious : furiously -> ['furious', 'immediately', 'promptly', 'furiously', 'distraught']
immediate : immediately = happy : happily -> ['happy', 'immediately', 'happily', 'instantly', 'pleased']
infrequent : infrequently = lucky : luckily -> ['lucky', 'infrequently', 'fittingly', 'snooks', 'dong-joo']
infrequent : infrequently = most : mostly -> ['most', 'third-most', 'second-most', 'fourth-most', 'infrequently']
infrequent : infrequently = obvious : obviously -> ['obvious', 'infrequently', 'explicitely', 'apposite', 'arguable']
infrequent : infrequently = occasional : occasionally -> ['infrequently', 'occasionally', 'occasional', 'sporadically', 'regularly']
infrequent : infrequently = possible : possibly -> ['possible', 'necessary', 'infrequently', 'feasible', 'practicable']
infrequent : infrequently = precise : precisely -> ['precise', 'accurately', 'accurate', 'concretely', 'crisply']
infrequent : infrequently = professional : professionally -> ['professional', 'semi-professional', 'proffesional', 'semiprofessional', 'semi-pro']
infrequent : infrequently = quick : quickly -> ['quick', 'infrequently', 'lazily', 'laboriously', 'smartly']
infrequent : infrequently = quiet : quietly -> ['quiet', 'infrequently', 'calm', 'tranquil', 'quietly']
infrequent : infrequently = rapid : rapidly -> ['rapid', 'infrequently', 'rapidly', 'interborough', 'flexibly']
infrequent : infrequently = rare : rarely -> ['rare', 'infrequently', 'rarely', 'prevalently', 'rarest']
infrequent : infrequently = reluctant : reluctantly -> ['reluctant', 'hesitant', 'reluctantly', 'loath', 'willing']
infrequent : infrequently = safe : safely -> ['safe', 'safer', 'infrequently', 'safely', 'securely']
infrequent : infrequently = serious : seriously -> ['serious', 'infrequently', 'maturely', 'numerously', 'sloppily']
infrequent : infrequently = slow : slowly -> ['slow', 'infrequently', 'slower', 'fast', 'lazily']
infrequent : infrequently = sudden : suddenly -> ['sudden', 'infrequently', 'quickening', 'lazily', 'childbed']
infrequent : infrequently = swift : swiftly -> ['swift', 'infrequently', 'frakes', 'hackford', 'lasher']
infrequent : infrequently = typical : typically -> ['typical', 'infrequently', 'prevalently', 'typically', 'traditional']
infrequent : infrequently = unfortunate : unfortunately -> ['unfortunate', 'infrequently', 'regrettable', 'surmising', 'unsurprising']
infrequent : infrequently = usual : usually -> ['usual', 'infrequently', 'frequently', 'commonly', 'conventionally']
infrequent : infrequently = amazing : amazingly -> ['amazing', 'incredible', 'astonishing', 'infrequently', 'unbelievable']
infrequent : infrequently = apparent : apparently -> ['apparent', 'evident', 'infrequently', 'obvious', 'surmising']
infrequent : infrequently = calm : calmly -> ['calm', 'infrequently', 'reverently', 'cool', 'attentively']
infrequent : infrequently = cheerful : cheerfully -> ['cheerful', 'cheery', 'talkative', 'girly', 'happy-go-lucky']
infrequent : infrequently = complete : completely -> ['complete', 'infrequently', 'properly', 'comprehensively', 'comprehensive']
infrequent : infrequently = efficient : efficiently -> ['efficient', 'efficiently', 'cost-effectively', 'flexibly', 'cost-efficient']
infrequent : infrequently = fortunate : fortunately -> ['fortunate', 'infrequently', 'numerously', 'nobly', 'reverently']
infrequent : infrequently = free : freely -> ['free', 'freely', 'infrequently', 'redistributable', 'advantageously']
infrequent : infrequently = furious : furiously -> ['furious', 'furiously', 'angrily', 'enraged', 'distraught']
infrequent : infrequently = happy : happily -> ['happy', 'joyfully', 'infrequently', 'happily', 'lovingly']
infrequent : infrequently = immediate : immediately -> ['immediate', 'infrequently', 'immediately', 'rissoinidae', 'dytiscidae']
lucky : luckily = most : mostly -> ['most', 'luckily', 'third-most', 'second-most', 'fourth-most']
lucky : luckily = obvious : obviously -> ['obvious', 'luckily', 'afaict', 'apparent', 'unfortunately']
lucky : luckily = occasional : occasionally -> ['occasional', 'luckily', 'infrequent', 'sporadic', 'intermittent']
lucky : luckily = possible : possibly -> ['possible', 'luckily', 'feasible', 'conceivable', 'understandable']
lucky : luckily = precise : precisely -> ['precise', 'luckily', 'accurate', 'repeatable', 'detailed']
lucky : luckily = professional : professionally -> ['professional', 'luckily', 'semi-professional', 'proffesional', 'semiprofessional']
lucky : luckily = quick : quickly -> ['quick', 'luckily', 'cursory', 'quicker', 'fortunately']
lucky : luckily = quiet : quietly -> ['quiet', 'luckily', 'peaceful', 'calm', 'fortunately']
lucky : luckily = rapid : rapidly -> ['rapid', 'luckily', 'interborough', 'expeditious', 'suburbanization']
lucky : luckily = rare : rarely -> ['rare', 'luckily', 'fortunately', 'uncommon', 'thankfully']
lucky : luckily = reluctant : reluctantly -> ['luckily', 'reluctant', 'hesitant', 'unwilling', 'grudgingly']
lucky : luckily = safe : safely -> ['safe', 'luckily', 'safer', 'fortunately', 'sparing']
lucky : luckily = serious : seriously -> ['serious', 'luckily', 'niggling', 'fortunately', 'thankfully']
lucky : luckily = slow : slowly -> ['slow', 'luckily', 'slowed', 'slower', 'slows']
lucky : luckily = sudden : suddenly -> ['sudden', 'luckily', 'fortunately', 'momentary', 'near-total']
lucky : luckily = swift : swiftly -> ['swift', 'luckily', 'fortunately', 'regrettably', 'momsen']
lucky : luckily = typical : typically -> ['typical', 'luckily', 'fortunately', 'unfortunately', 'usual']
lucky : luckily = unfortunate : unfortunately -> ['luckily', 'unfortunate', 'unfortunately', 'fortunately', 'thankfully']
lucky : luckily = usual : usually -> ['usual', 'luckily', 'unfortunately', 'fortunately', 'thankfully']
lucky : luckily = amazing : amazingly -> ['luckily', 'amazing', 'astonishing', 'incredible', 'unfortunately']
lucky : luckily = apparent : apparently -> ['apparent', 'luckily', 'obvious', 'unfortunately', 'evident']
lucky : luckily = calm : calmly -> ['calm', 'luckily', 'demeanor', 'quiet', 'calmed']
lucky : luckily = cheerful : cheerfully -> ['cheerful', 'luckily', 'good-natured', 'demeanor', 'down-to-earth']
lucky : luckily = complete : completely -> ['complete', 'luckily', 'near-complete', 'partial', 'exhaustive']
lucky : luckily = efficient : efficiently -> ['efficient', 'luckily', 'expeditious', 'energy-efficient', 'cost-effective']
lucky : luckily = fortunate : fortunately -> ['luckily', 'fortunately', 'fortunate', 'thankfully', 'unhurt']
lucky : luckily = free : freely -> ['free', 'luckily', 'freely', 'free-of-charge', 'redistributable']
lucky : luckily = furious : furiously -> ['luckily', 'furious', 'fortunately', 'rebuffs', 'subdues']
lucky : luckily = happy : happily -> ['luckily', 'happy', 'fortunately', 'thankfully', 'happily']
lucky : luckily = immediate : immediately -> ['immediate', 'luckily', 'fortunately', 'unfortunately', 'imminent']
lucky : luckily = infrequent : infrequently -> ['infrequent', 'luckily', 'sporadic', 'occasional', 'fortunately']
most : mostly = obvious : obviously -> ['obvious', 'mostly', 'purely', 'mainly', 'predominantly']
most : mostly = occasional : occasionally -> ['occasional', 'mostly', 'mainly', 'primarily', 'predominantly']
most : mostly = possible : possibly -> ['possible', 'mostly', 'primarily', 'mainly', 'predominantly']
most : mostly = precise : precisely -> ['precise', 'mostly', 'primarily', 'mainly', 'predominantly']
most : mostly = professional : professionally -> ['professional', 'mostly', 'semi-professional', 'primarily', 'mainly']
most : mostly = quick : quickly -> ['quick', 'mostly', 'primarily', 'mainly', 'predominantly']
most : mostly = quiet : quietly -> ['quiet', 'mostly', 'largely', 'mainly', 'predominantly']
most : mostly = rapid : rapidly -> ['rapid', 'mostly', 'primarily', 'predominantly', 'mainly']
most : mostly = rare : rarely -> ['rare', 'mostly', 'mainly', 'predominately', 'predominantly']
most : mostly = reluctant : reluctantly -> ['reluctant', 'hesitant', 'mostly', 'unwilling', 'primarily']
most : mostly = safe : safely -> ['safe', 'mostly', 'predominantly', 'primarily', 'mainly']
most : mostly = serious : seriously -> ['serious', 'mostly', 'mainly', 'primarily', 'predominantly']
most : mostly = slow : slowly -> ['slow', 'mostly', 'mainly', 'primarily', 'predominantly']
most : mostly = sudden : suddenly -> ['sudden', 'mostly', 'mainly', 'slight', 'predominantly']
most : mostly = swift : swiftly -> ['swift', 'mostly', 'primarily', 'predominantly', 'mainly']
most : mostly = typical : typically -> ['typical', 'predominantly', 'predominately', 'mostly', 'mainly']
most : mostly = unfortunate : unfortunately -> ['unfortunate', 'mostly', 'mainly', 'largely', 'primarily']
most : mostly = usual : usually -> ['usual', 'mostly', 'mainly', 'primarily', 'predominantly']
most : mostly = amazing : amazingly -> ['amazing', 'mostly', 'mainly', 'primarily', 'incredible']
most : mostly = apparent : apparently -> ['apparent', 'mostly', 'evident', 'mainly', 'predominantly']
most : mostly = calm : calmly -> ['calm', 'mostly', 'largely', 'mainly', 'quiet']
most : mostly = cheerful : cheerfully -> ['cheerful', 'mostly', 'cheery', 'predominantly', 'good-natured']
most : mostly = complete : completely -> ['complete', 'mostly', 'primarily', 'largely', 'predominantly']
most : mostly = efficient : efficiently -> ['efficient', 'mostly', 'inefficient', 'primarily', 'mainly']
most : mostly = fortunate : fortunately -> ['fortunate', 'mostly', 'mainly', 'primarily', 'predominately']
most : mostly = free : freely -> ['free', 'mostly', 'predominately', 'primarily', 'predominantly']
most : mostly = furious : furiously -> ['furious', 'mostly', 'primarily', 'mainly', 'predominantly']
most : mostly = happy : happily -> ['happy', 'mostly', 'primarily', 'mainly', 'predominantly']
most : mostly = immediate : immediately -> ['immediate', 'mostly', 'primarily', 'mainly', 'predominantly']
most : mostly = infrequent : infrequently -> ['infrequent', 'mostly', 'mainly', 'primarily', 'predominantly']
most : mostly = lucky : luckily -> ['lucky', 'mostly', 'mainly', 'primarily', 'predominately']
obvious : obviously = occasional : occasionally -> ['occasional', 'occasionally', 'obviously', 'often', 'infrequent']
obvious : obviously = possible : possibly -> ['obviously', 'possible', 'demonstrably', 'certainly', 'necessarily']
obvious : obviously = precise : precisely -> ['precise', 'obviously', 'accurate', 'definitely', 'certainly']
obvious : obviously = professional : professionally -> ['professional', 'proffesional', 'semi-professional', 'obviously', 'semiprofessional']
obvious : obviously = quick : quickly -> ['quick', 'obviously', 'evidently', 'terrifically', 'really']
obvious : obviously = quiet : quietly -> ['quiet', 'obviously', 'evidently', 'terrifically', 'calm']
obvious : obviously = rapid : rapidly -> ['rapid', 'obviously', 'interborough', 'driverless', 'suburbanization']
obvious : obviously = rare : rarely -> ['rare', 'obviously', 'evidently', 'definitely', 'apparently']
obvious : obviously = reluctant : reluctantly -> ['reluctant', 'hesitant', 'obviously', 'understandably', 'willing']
obvious : obviously = safe : safely -> ['safe', 'obviously', 'always', 'still', 'definitely']
obvious : obviously = serious : seriously -> ['serious', 'obviously', 'evidently', 'definitely', 'certainly']
obvious : obviously = slow : slowly -> ['slow', 'slower', 'obviously', 'fast', 'slowed']
obvious : obviously = sudden : suddenly -> ['sudden', 'obviously', 'downpour', 'definitely', 'certainly']
obvious : obviously = swift : swiftly -> ['swift', 'obviously', 'definitely', 'foden', 'still']
obvious : obviously = typical : typically -> ['typical', 'typically', 'obviously', 'usually', 'characteristically']
obvious : obviously = unfortunate : unfortunately -> ['obviously', 'unfortunate', 'evidently', 'understandably', 'undoubtedly']
obvious : obviously = usual : usually -> ['usual', 'obviously', 'generally', 'evidently', 'usually']
obvious : obviously = amazing : amazingly -> ['amazing', 'obviously', 'awesome', 'amazingly', 'definitely']
obvious : obviously = apparent : apparently -> ['obviously', 'apparently', 'evidently', 'certainly', 'definitely']
obvious : obviously = calm : calmly -> ['calm', 'obviously', 'unfailingly', 'scrupulously', 'cool-headed']
obvious : obviously = cheerful : cheerfully -> ['cheerful', 'warm-hearted', 'kind-hearted', 'good-hearted', 'well-mannered']
obvious : obviously = complete : completely -> ['complete', 'obviously', 'definitely', 'evidently', 'certainly']
obvious : obviously = efficient : efficiently -> ['efficient', 'obviously', 'cost-efficient', 'aerodynamically', 'inefficient']
obvious : obviously = fortunate : fortunately -> ['fortunate', 'obviously', 'evidently', 'definitely', 'understandably']
obvious : obviously = free : freely -> ['free', 'obviously', 'freely', 'free-of-charge', 'definitely']
obvious : obviously = furious : furiously -> ['furious', 'obviously', 'reportedly', 'distraught', 'understandably']
obvious : obviously = happy : happily -> ['happy', 'obviously', 'definitely', 'genuinely', 'really']
obvious : obviously = immediate : immediately -> ['immediate', 'obviously', 'certainly', 'definitely', 'evidently']
obvious : obviously = infrequent : infrequently -> ['infrequent', 'obviously', 'understandably', 'evidently', 'infrequently']
obvious : obviously = lucky : luckily -> ['lucky', 'obviously', 'evidently', 'definitely', 'really']
obvious : obviously = most : mostly -> ['most', 'second-most', 'third-most', 'obviously', 'fourth-most']
occasional : occasionally = possible : possibly -> ['possible', 'preferable', 'preferrable', 'feasible', 'sometimes']
occasional : occasionally = precise : precisely -> ['precise', 'concretely', 'precisely', 'discretely', 'generalizable']
occasional : occasionally = professional : professionally -> ['professional', 'semi-professional', 'proffesional', 'occasionally', 'non-professional']
occasional : occasionally = quick : quickly -> ['quick', 'occasionally', 'quicker', 'lazily', 'rarely']
occasional : occasionally = quiet : quietly -> ['quiet', 'calm', 'reticent', 'studious', 'occasionally']
occasional : occasionally = rapid : rapidly -> ['rapid', 'rapidly', 'occasionally', 'frequently', 'sometimes']
occasional : occasionally = rare : rarely -> ['rare', 'rarely', 'occasionally', 'sometimes', 'rarer']
occasional : occasionally = reluctant : reluctantly -> ['reluctant', 'hesitant', 'loath', 'unwilling', 'disinclined']
occasional : occasionally = safe : safely -> ['safe', 'safer', 'healthier', 'safely', 'drug-free']
occasional : occasionally = serious : seriously -> ['serious', 'occasionally', 'seriously', 'life-threatening', 'rarely']
occasional : occasionally = slow : slowly -> ['slow', 'slower', 'occasionally', 'slowed', 'sluggish']
occasional : occasionally = sudden : suddenly -> ['sudden', 'occasionally', 'suddenly', 'rarely', 'unpredictably']
occasional : occasionally = swift : swiftly -> ['swift', 'occasionally', 'sometimes', 'frequently', 'frakes']
occasional : occasionally = typical : typically -> ['typical', 'typically', 'often', 'sometimes', 'frequently']
occasional : occasionally = unfortunate : unfortunately -> ['unfortunate', 'regrettable', 'occasionally', 'disconcerting', 'counter-intuitive']
occasional : occasionally = usual : usually -> ['usual', 'frequently', 'often', 'sometimes', 'commonly']
occasional : occasionally = amazing : amazingly -> ['amazing', 'occasionally', 'astonishing', 'incredible', 'awesome']
occasional : occasionally = apparent : apparently -> ['apparent', 'evident', 'theorised', 'reveled', 'surmising']
occasional : occasionally = calm : calmly -> ['calm', 'cool', 'occasionally', 'calmer', 'warm']
occasional : occasionally = cheerful : cheerfully -> ['cheerful', 'cheery', 'self-confident', 'kindhearted', 'self-assured']
occasional : occasionally = complete : completely -> ['complete', 'sometimes', 'often', 'occasionally', 'frequently']
occasional : occasionally = efficient : efficiently -> ['efficient', 'cost-efficient', 'cost-effectively', 'cost-effective', 'inefficient']
occasional : occasionally = fortunate : fortunately -> ['fortunate', 'chagrined', 'gratified', 'pitied', 'duty-bound']
occasional : occasionally = free : freely -> ['free', 'freely', 'occasionally', 'legitimately', 'sometimes']
occasional : occasionally = furious : furiously -> ['furious', 'distraught', 'horrified', 'aghast', 'mortified']
occasional : occasionally = happy : happily -> ['happy', 'happier', 'delighted', 'glad', 'gratified']
occasional : occasionally = immediate : immediately -> ['immediate', 'immediately', 'rarely', 'seldom', 'occasionally']
occasional : occasionally = infrequent : infrequently -> ['occasionally', 'frequently', 'rarely', 'infrequently', 'seldom']
occasional : occasionally = lucky : luckily -> ['lucky', 'slimed', 'fortunate', 'occasionally', 'pitied']
occasional : occasionally = most : mostly -> ['most', 'second-most', 'third-most', 'sometimes', 'occasionally']
occasional : occasionally = obvious : obviously -> ['obvious', 'preferrable', 'forgivable', 'excusable', 'debateable']
possible : possibly = precise : precisely -> ['possibly', 'precise', 'probably', 'imprecise', 'perhaps']
possible : possibly = professional : professionally -> ['professional', 'possibly', 'semi-professional', 'semiprofessional', 'amateur']
possible : possibly = quick : quickly -> ['quick', 'possibly', 'slow', 'probably', 'perhaps']
possible : possibly = quiet : quietly -> ['quiet', 'possibly', 'calm', 'secluded', 'carefree']
possible : possibly = rapid : rapidly -> ['rapid', 'possibly', 'urbanisation', 'suburbanization', 'deindustrialization']
possible : possibly = rare : rarely -> ['rare', 'possibly', 'madagascan', 'lungfish', 'fynbos']
possible : possibly = reluctant : reluctantly -> ['reluctant', 'possibly', 'hesitant', 'unwilling', 'reluctantly']
possible : possibly = safe : safely -> ['possibly', 'safe', 'safer', 'presumably', 'tsumeb']
possible : possibly = serious : seriously -> ['possibly', 'serious', 'severe', 'grievous', 'debilitating']
possible : possibly = slow : slowly -> ['slow', 'possibly', 'sluggish', 'slowed', 'fast']
possible : possibly = sudden : suddenly -> ['sudden', 'possibly', 'spasms', 'convulsions', 'fainting']
possible : possibly = swift : swiftly -> ['swift', 'possibly', 'capreolus', 'cottonmouth', 'lasius']
possible : possibly = typical : typically -> ['possibly', 'typical', 'sahelian', 'floras', 'madagascan']
possible : possibly = unfortunate : unfortunately -> ['possibly', 'unfortunate', 'perhaps', 'presumably', 'probably']
possible : possibly = usual : usually -> ['possibly', 'usual', 'presumably', 'vice-versa', 'middle-east']
possible : possibly = amazing : amazingly -> ['amazing', 'possibly', 'awesome', 'incredible', 'raggedy']
possible : possibly = apparent : apparently -> ['possibly', 'apparent', 'perhaps', 'probably', 'presumably']
possible : possibly = calm : calmly -> ['calm', 'possibly', 'cool', 'warm', 'quiet']
possible : possibly = cheerful : cheerfully -> ['cheerful', 'possibly', 'carefree', 'talkative', 'high-spirited']
possible : possibly = complete : completely -> ['complete', 'possibly', 'perhaps', 'probably', 'near-complete']
possible : possibly = efficient : efficiently -> ['possibly', 'efficient', 'inefficient', 'robust', 'environmentally-friendly']
possible : possibly = fortunate : fortunately -> ['possibly', 'fortunate', 'probably', 'presumably', 'perhaps']
possible : possibly = free : freely -> ['free', 'possibly', 'presumably', 'dar-es-salaam', 'indo-china']
possible : possibly = furious : furiously -> ['furious', 'possibly', 'angry', 'enraged', 'distraught']
possible : possibly = happy : happily -> ['happy', 'possibly', 'contented', 'carefree', 'probably']
possible : possibly = immediate : immediately -> ['immediate', 'possibly', 'probably', 'perhaps', 'caucasia']
possible : possibly = infrequent : infrequently -> ['infrequent', 'possibly', 'occasional', 'occasionally', 'infrequently']
possible : possibly = lucky : luckily -> ['lucky', 'possibly', 'probably', 'presumably', 'unlucky']
possible : possibly = most : mostly -> ['most', 'possibly', 'central-southern', 'second-most', 'third-most']
possible : possibly = obvious : obviously -> ['possibly', 'obvious', 'probably', 'perhaps', 'presumably']
possible : possibly = occasional : occasionally -> ['occasional', 'possibly', 'occasionally', 'infrequent', 'subtropics']
precise : precisely = professional : professionally -> ['professional', 'semi-professional', 'precisely', 'proffesional', 'professionally']
precise : precisely = quick : quickly -> ['quick', 'precisely', 'exactly', 'reffering', 'simply']
precise : precisely = quiet : quietly -> ['quiet', 'precisely', 'calm', 'exactly', 'ostensibly']
precise : precisely = rapid : rapidly -> ['rapid', 'precisely', 'suburbanization', 'metrorail', 'deindustrialization']
precise : precisely = rare : rarely -> ['rare', 'precisely', 'uncommon', 'rarer', 'so-named']
precise : precisely = reluctant : reluctantly -> ['reluctant', 'hesitant', 'unwilling', 'loath', 'disinclined']
precise : precisely = safe : safely -> ['safe', 'precisely', 'safer', 'off-limits', 'ostensibly']
precise : precisely = serious : seriously -> ['serious', 'precisely', 'severe', 'grievous', 'irreparable']
precise : precisely = slow : slowly -> ['slow', 'precisely', 'slower', 'fast', 'slowing']
precise : precisely = sudden : suddenly -> ['sudden', 'precisely', 'triggered', 'syncope', 'abrupt']
precise : precisely = swift : swiftly -> ['swift', 'precisely', 'schwegmann', 'keltie', 'hoynes']
precise : precisely = typical : typically -> ['typical', 'precisely', 'typically', 'primarily', 'mainly']
precise : precisely = unfortunate : unfortunately -> ['unfortunate', 'precisely', 'unlucky', 'itn-worthy', 'appalling']
precise : precisely = usual : usually -> ['usual', 'precisely', 'exactly', 'basically', 'commonly']
precise : precisely = amazing : amazingly -> ['amazing', 'incredible', 'precisely', 'astonishing', 'awesome']
precise : precisely = apparent : apparently -> ['apparent', 'precisely', 'evident', 'obvious', 'apparant']
precise : precisely = calm : calmly -> ['calm', 'precisely', 'cool', 'exactly', 'ostensibly']
precise : precisely = cheerful : cheerfully -> ['cheerful', 'warm-hearted', 'happy-go-lucky', 'lovable', 'cheery']
precise : precisely = complete : completely -> ['complete', 'precisely', 'exactly', 'utter', 'near-complete']
precise : precisely = efficient : efficiently -> ['efficient', 'precisely', 'inefficient', 'optimally', 'efficiently']
precise : precisely = fortunate : fortunately -> ['fortunate', 'precisely', 'unlucky', 'likely', 'lucky']
precise : precisely = free : freely -> ['free', 'precisely', 'freely', 'analogously', 'solely']
precise : precisely = furious : furiously -> ['furious', 'enraged', 'infuriated', 'incensed', 'precisely']
precise : precisely = happy : happily -> ['happy', 'precisely', 'exactly', 'unhappy', 'thrilled']
precise : precisely = immediate : immediately -> ['immediate', 'precisely', 'exactly', 'indefinate', 'immediately']
precise : precisely = infrequent : infrequently -> ['infrequent', 'precisely', 'infrequently', 'occassional', 'frequent']
precise : precisely = lucky : luckily -> ['lucky', 'precisely', 'unlucky', 'exactly', 'fortunate']
precise : precisely = most : mostly -> ['most', 'third-most', 'second-most', 'precisely', 'fourth-most']
precise : precisely = obvious : obviously -> ['obvious', 'precisely', 'exactly', 'apparant', 'evident']
precise : precisely = occasional : occasionally -> ['occasional', 'occassional', 'infrequent', 'occasionally', 'precisely']
precise : precisely = possible : possibly -> ['possible', 'precisely', 'exactly', 'advisable', 'neccessary']
professional : professionally = quick : quickly -> ['quick', 'professionally', 'competently', 'superbly', 'sloppily']
professional : professionally = quiet : quietly -> ['quiet', 'professionally', 'calm', 'sweetly', 'immaculately']
professional : professionally = rapid : rapidly -> ['rapid', 'professionally', 'quick', 'slow', 'interborough']
professional : professionally = rare : rarely -> ['rare', 'professionally', 'uncommon', 'rarer', 'scarce']
professional : professionally = reluctant : reluctantly -> ['reluctant', 'hesitant', 'professionally', 'loath', 'disinclined']
professional : professionally = safe : safely -> ['safe', 'professionally', 'safer', 'safest', 'separately']
professional : professionally = serious : seriously -> ['serious', 'professionally', 'severe', 'sloppily', 'grievous']
professional : professionally = slow : slowly -> ['slow', 'professionally', 'slower', 'fast', 'sluggish']
professional : professionally = sudden : suddenly -> ['sudden', 'professionally', 'abrupt', 'childbed', 'spasms']
professional : professionally = swift : swiftly -> ['swift', 'professionally', 'downie', 'mcilwaine', 'lasher']
