amazing : amazingly = apparent : apparently -> ['apparent', 'amazingly', 'apparently', 'exceedingly', 'obvious']
happy : happily = professional : professionally -> ['professional', 'semi-professional', 'professionally', 'ice-hockey', 'happily']
happy : happily = quick : quickly -> ['quick', 'happily', 'cursory', 'searches', 'dogpile']
happy : happily = quiet : quietly -> ['quiet', 'happily', 'quietly', 'calm', 'tranquil']
happy : happily = rapid : rapidly -> ['rapid', 'urbanisation', 'suburbanization', 'spurt', 'accelerating']
happy : happily = rare : rarely -> ['rare', 'happily', 'rarest', 'rarely', 'rarer']
happy : happily = reluctant : reluctantly -> ['reluctant', 'happily', 'reluctantly', 'refuses', 'grudgingly']
happy : happily = safe : safely -> ['safe', 'happily', 'safer', 'unsafe', 'safely']
happy : happily = serious : seriously -> ['serious', 'severe', 'happily', 'grievous', 'surmountable']
happy : happily = slow : slowly -> ['slow', 'slows', 'slowing', 'happily', 'slowed']
happy : happily = sudden : suddenly -> ['sudden', 'happily', 'untimely', 'despondency', 'collapses']
happy : happily = swift : swiftly -> ['swift', 'happily', 'broadhead', 'twiss', 'henslow']
happy : happily = typical : typically -> ['typical', 'happily', 'characteristically', 'plainer', 'resembling']
happy : happily = unfortunate : unfortunately -> ['unfortunate', 'happily', 'unexplained', 'unexplainable', 'unforeseeable']
happy : happily = usual : usually -> ['usual', 'happily', 'discarding', 'standard', 'discards']
happy : happily = amazing : amazingly -> ['amazing', 'incredible', 'happily', 'astonishing', 'astounding']
happy : happily = apparent : apparently -> ['apparent', 'happily', 'unexplained', 'obvious', 'evident']
happy : happily = calm : calmly -> ['calm', 'happily', 'calmed', 'calmly', 'calms']
happy : happily = cheerful : cheerfully -> ['happily', 'cheerful', 'demeanor', 'sullen', 'good-natured']
happy : happily = complete : completely -> ['complete', 'happily', 'near-complete', 'completes', 'partial']
happy : happily = efficient : efficiently -> ['efficient', 'cost-effective', 'energy-efficient', 'efficiently', 'inefficient']
happy : happily = fortunate : fortunately -> ['fortunate', 'happily', 'unwillingly', 'willingly', 'unhappily']
happy : happily = free : freely -> ['free', 'happily', 'freely', 'webhosting', 'redistributable']
happy : happily = furious : furiously -> ['furious', 'happily', 'enraged', 'angrily', 'furiously']
immediate : immediately = infrequent : infrequently -> ['infrequent', 'immediately', 'infrequently', 'soon', 'regularly']
immediate : immediately = lucky : luckily -> ['lucky', 'immediately', 'soon', 'dumbfounded', 'crazy']
immediate : immediately = most : mostly -> ['most', 'immediately', 'second-most', 'instantly', 'highly']
immediate : immediately = obvious : obviously -> ['immediately', 'obvious', 'immediatly', 'blatantly', 'soon']
immediate : immediately = occasional : occasionally -> ['occasional', 'occasionally', 'immediately', 'regularly', 'sporadically']
immediate : immediately = possible : possibly -> ['possible', 'immediately', 'soon', 'immediatly', 'quickly']
immediate : immediately = precise : precisely -> ['precise', 'immediately', 'correctly', 'carefully', 'accurately']
immediate : immediately = professional : professionally -> ['professional', 'immediately', 'professionally', 'semi-professional', 'retired']
immediate : immediately = quick : quickly -> ['quick', 'immediately', 'quickly', 'soon', 'swiftly']
immediate : immediately = quiet : quietly -> ['quiet', 'quietly', 'immediately', 'cheerful', 'sober']
immediate : immediately = rapid : rapidly -> ['rapid', 'immediately', 'quickly', 'rapidly', 'soon']
immediate : immediately = rare : rarely -> ['rare', 'immediately', 'soon', 'rarely', 'scarce']
immediate : immediately = reluctant : reluctantly -> ['reluctant', 'hesitant', 'immediately', 'refuses', 'refused']
immediate : immediately = safe : safely -> ['safe', 'immediately', 'safely', 'soon', 'shortly']
immediate : immediately = serious : seriously -> ['serious', 'immediately', 'soon', 'swiftly', 'promptly']
immediate : immediately = slow : slowly -> ['slow', 'immediately', 'slowly', 'swiftly', 'fast']
immediate : immediately = sudden : suddenly -> ['sudden', 'immediately', 'suddenly', 'shortly', 'abruptly']
immediate : immediately = swift : swiftly -> ['swift', 'immediately', 'swiftly', 'promptly', 'soon']
immediate : immediately = typical : typically -> ['typical', 'immediately', 'distinctly', 'characteristic', 'patterned']
immediate : immediately = unfortunate : unfortunately -> ['immediately', 'unfortunate', 'soon', 'promptly', 'inexplicably']
immediate : immediately = usual : usually -> ['usual', 'immediately', 'soon', 'blindly', 'swiftly']
immediate : immediately = amazing : amazingly -> ['amazing', 'immediately', 'awesome', 'technicolour', 'inexplicably']
immediate : immediately = apparent : apparently -> ['immediately', 'apparent', 'soon', 'instantly', 'shortly']
immediate : immediately = calm : calmly -> ['calm', 'immediately', 'quietly', 'calms', 'calmly']
immediate : immediately = cheerful : cheerfully -> ['cheerful', 'cheery', 'soft-spoken', 'sullen', 'charming']
immediate : immediately = complete : completely -> ['complete', 'immediately', 'completely', 'properly', 'promptly']
immediate : immediately = efficient : efficiently -> ['efficient', 'efficiently', 'immediately', 'quickly', 'cost-effective']
immediate : immediately = fortunate : fortunately -> ['fortunate', 'immediately', 'soon', 'swiftly', 'quickly']
immediate : immediately = free : freely -> ['free', 'immediately', 'freely', 'promptly', 'soon']
immediate : immediately = furious : furiously -> ['furious', 'immediately', 'angrily', 'distraught', 'furiously']
immediate : immediately = happy : happily -> ['happy', 'immediately', 'soon', 'glad', 'delighted']
infrequent : infrequently = lucky : luckily -> ['lucky', 'unlucky', 'zuzu', 'kissed', 'happy']
infrequent : infrequently = most : mostly -> ['most', 'second-most', 'widely', 'infrequently', 'third-most']
infrequent : infrequently = obvious : obviously -> ['obvious', 'infrequently', 'obviously', 'self-evident', 'explicity']
infrequent : infrequently = occasional : occasionally -> ['infrequently', 'occasionally', 'occasional', 'frequently', 'regularly']
infrequent : infrequently = possible : possibly -> ['possible', 'necessary', 'infrequently', 'practicable', 'permissible']
infrequent : infrequently = precise : precisely -> ['precise', 'accurately', 'accurate', 'descriptive', 'precisely']
infrequent : infrequently = professional : professionally -> ['professional', 'professionally', 'semi-professional', 'baseball', 'semi-pro']
infrequent : infrequently = quick : quickly -> ['quick', 'infrequently', 'fast', 'seach', 'clever']
infrequent : infrequently = quiet : quietly -> ['quiet', 'calm', 'cheerful', 'charming', 'tranquil']
infrequent : infrequently = rapid : rapidly -> ['rapid', 'infrequently', 'gradual', 'interborough', 'urbanization']
infrequent : infrequently = rare : rarely -> ['rare', 'infrequently', 'rarely', 'seldom', 'uncommon']
infrequent : infrequently = reluctant : reluctantly -> ['reluctant', 'hesitant', 'willing', 'tempted', 'refuses']
infrequent : infrequently = safe : safely -> ['safe', 'safer', 'infrequently', 'safely', 'passively']
infrequent : infrequently = serious : seriously -> ['serious', 'infrequently', 'severe', 'life-threatening', 'frequently']
infrequent : infrequently = slow : slowly -> ['slow', 'fast', 'infrequently', 'slowed', 'slows']
infrequent : infrequently = sudden : suddenly -> ['sudden', 'panic', 'suddenly', 'despondency', 'infrequently']
infrequent : infrequently = swift : swiftly -> ['swift', 'taylor', 'crane', 'stevens', 'walker']
infrequent : infrequently = typical : typically -> ['typical', 'traditional', 'typically', 'infrequently', 'prototypical']
infrequent : infrequently = unfortunate : unfortunately -> ['unfortunate', 'infrequently', 'regrettable', 'ironic', 'embarrassing']
infrequent : infrequently = usual : usually -> ['usual', 'frequently', 'infrequently', 'often', 'seldom']
infrequent : infrequently = amazing : amazingly -> ['amazing', 'incredible', 'astounding', 'astonishing', 'awesome']
infrequent : infrequently = apparent : apparently -> ['apparent', 'infrequently', 'evident', 'obvious', 'presumptive']
infrequent : infrequently = calm : calmly -> ['calm', 'calmed', 'quiet', 'calms', 'infrequently']
infrequent : infrequently = cheerful : cheerfully -> ['cheerful', 'cheery', 'fun-loving', 'feisty', 'charming']
infrequent : infrequently = complete : completely -> ['complete', 'properly', 'completed', 'fully', 'infrequently']
infrequent : infrequently = efficient : efficiently -> ['efficient', 'efficiently', 'cost-effective', 'user-friendly', 'cost-efficient']
infrequent : infrequently = fortunate : fortunately -> ['fortunate', 'infrequently', 'unlucky', 'lucky', 'frequently']
infrequent : infrequently = free : freely -> ['free', 'freely', 'redistributable', 'gratis', 'distributable']
infrequent : infrequently = furious : furiously -> ['furious', 'distraught', 'heartbroken', 'enraged', 'infuriated']
infrequent : infrequently = happy : happily -> ['happy', 'pleased', 'thrilled', 'glad', 'thankful']
infrequent : infrequently = immediate : immediately -> ['immediate', 'urgent', 'infrequently', 'preconditions', 'immediately']
lucky : luckily = most : mostly -> ['most', 'luckily', 'unfortunately', 'virtually', 'second-most']
lucky : luckily = obvious : obviously -> ['obvious', 'luckily', 'unfortunately', 'thankfully', 'apparently']
lucky : luckily = occasional : occasionally -> ['occasional', 'luckily', 'infrequent', 'sporadic', 'occasionally']
lucky : luckily = possible : possibly -> ['possible', 'luckily', 'practicable', 'unnecessary', 'thankfully']
lucky : luckily = precise : precisely -> ['precise', 'luckily', 'accurate', 'exact', 'proper']
lucky : luckily = professional : professionally -> ['professional', 'semi-professional', 'luckily', 'amateur', 'managerial']
lucky : luckily = quick : quickly -> ['quick', 'luckily', 'fortunately', 'thankfully', 'unfortunately']
lucky : luckily = quiet : quietly -> ['quiet', 'luckily', 'calm', 'thankfully', 'quietly']
lucky : luckily = rapid : rapidly -> ['rapid', 'luckily', 'depopulation', 'spurt', 'urbanisation']
lucky : luckily = rare : rarely -> ['rare', 'luckily', 'uncommon', 'fortunately', 'unfortunately']
lucky : luckily = reluctant : reluctantly -> ['reluctant', 'luckily', 'hesitant', 'refuses', 'unable']
lucky : luckily = safe : safely -> ['safe', 'luckily', 'safer', 'fortunately', 'safely']
lucky : luckily = serious : seriously -> ['serious', 'luckily', 'severe', 'niggling', 'thankfully']
lucky : luckily = slow : slowly -> ['slow', 'luckily', 'slowing', 'slowed', 'slows']
lucky : luckily = sudden : suddenly -> ['sudden', 'luckily', 'near-total', 'suddenness', 'dilapidation']
lucky : luckily = swift : swiftly -> ['swift', 'luckily', 'fortunately', 'creedy', 'thankfully']
lucky : luckily = typical : typically -> ['typical', 'luckily', 'fortress-like', 'characteristic', 'usual']
lucky : luckily = unfortunate : unfortunately -> ['unfortunate', 'luckily', 'unfortunately', 'fortunately', 'unexplained']
lucky : luckily = usual : usually -> ['usual', 'luckily', 'thankfully', 'unfortunately', 'rather']
lucky : luckily = amazing : amazingly -> ['amazing', 'luckily', 'astonishing', 'incredible', 'fortunately']
lucky : luckily = apparent : apparently -> ['apparent', 'luckily', 'apparently', 'fortunately', 'unexplained']
lucky : luckily = calm : calmly -> ['calm', 'luckily', 'calmed', 'calms', 'fortunately']
lucky : luckily = cheerful : cheerfully -> ['cheerful', 'luckily', 'good-natured', 'demeanor', 'carefree']
lucky : luckily = complete : completely -> ['complete', 'luckily', 'near-complete', 'fortunately', 'unfortunately']
lucky : luckily = efficient : efficiently -> ['efficient', 'cost-effective', 'inefficient', 'luckily', 'cost-efficient']
lucky : luckily = fortunate : fortunately -> ['luckily', 'fortunate', 'fortunately', 'thankfully', 'unfortunately']
lucky : luckily = free : freely -> ['free', 'luckily', 'webhosting', 'unrestricted', 'virtually']
lucky : luckily = furious : furiously -> ['furious', 'luckily', 'distraught', 'enraged', 'infuriated']
lucky : luckily = happy : happily -> ['luckily', 'happy', 'thankfully', 'sadly', 'fortunately']
lucky : luckily = immediate : immediately -> ['immediate', 'luckily', 'fortunately', 'effecting', 'dilapidation']
lucky : luckily = infrequent : infrequently -> ['infrequent', 'luckily', 'sporadic', 'occasional', 'infrequently']
most : mostly = obvious : obviously -> ['obvious', 'mostly', 'purely', 'entirely', 'basically']
most : mostly = occasional : occasionally -> ['occasional', 'mostly', 'occasionally', 'mainly', 'primarily']
most : mostly = possible : possibly -> ['possible', 'mostly', 'primarily', 'largely', 'purely']
most : mostly = precise : precisely -> ['precise', 'sparse', 'mostly', 'precisely', 'purely']
most : mostly = professional : professionally -> ['professional', 'mostly', 'semi-professional', 'mainly', 'primarily']
most : mostly = quick : quickly -> ['quick', 'mostly', 'slow', 'simple', 'mainly']
most : mostly = quiet : quietly -> ['quiet', 'mostly', 'largely', 'predominantly', 'tranquil']
most : mostly = rapid : rapidly -> ['rapid', 'mostly', 'mainly', 'largely', 'predominantly']
most : mostly = rare : rarely -> ['rare', 'mostly', 'predominantly', 'mainly', 'predominately']
most : mostly = reluctant : reluctantly -> ['reluctant', 'hesitant', 'unwilling', 'mostly', 'largely']
most : mostly = safe : safely -> ['safe', 'mostly', 'primarily', 'predominantly', 'mainly']
most : mostly = serious : seriously -> ['serious', 'mostly', 'severe', 'largely', 'primarily']
most : mostly = slow : slowly -> ['slow', 'mostly', 'largely', 'mainly', 'sluggish']
most : mostly = sudden : suddenly -> ['sudden', 'mostly', 'largely', 'abrupt', 'mainly']
most : mostly = swift : swiftly -> ['swift', 'mostly', 'mainly', 'primarily', 'largely']
most : mostly = typical : typically -> ['typical', 'mostly', 'predominantly', 'predominately', 'mainly']
most : mostly = unfortunate : unfortunately -> ['unfortunate', 'mostly', 'largely', 'unrelated', 'inconsequential']
most : mostly = usual : usually -> ['usual', 'mostly', 'mainly', 'largely', 'usually']
most : mostly = amazing : amazingly -> ['amazing', 'mostly', 'incredible', 'mainly', 'astonishing']
most : mostly = apparent : apparently -> ['apparent', 'largely', 'mostly', 'primarily', 'mainly']
most : mostly = calm : calmly -> ['calm', 'quiet', 'mostly', 'gentle', 'cool']
most : mostly = cheerful : cheerfully -> ['cheerful', 'good-natured', 'timid', 'quiet', 'cheery']
most : mostly = complete : completely -> ['complete', 'mostly', 'largely', 'entirely', 'partial']
most : mostly = efficient : efficiently -> ['efficient', 'cost-effective', 'inefficient', 'flexible', 'robust']
most : mostly = fortunate : fortunately -> ['fortunate', 'mostly', 'largely', 'predominantly', 'mainly']
most : mostly = free : freely -> ['free', 'mostly', 'predominantly', 'mainly', 'primarily']
most : mostly = furious : furiously -> ['furious', 'angry', 'distraught', 'heartbroken', 'infuriated']
most : mostly = happy : happily -> ['happy', 'mostly', 'glad', 'largely', 'predominantly']
most : mostly = immediate : immediately -> ['immediate', 'mostly', 'largely', 'mainly', 'primarily']
most : mostly = infrequent : infrequently -> ['infrequent', 'mostly', 'mainly', 'occasional', 'sporadic']
most : mostly = lucky : luckily -> ['lucky', 'mostly', 'happy', 'unlucky', 'primarily']
obvious : obviously = occasional : occasionally -> ['occasional', 'occasionally', 'regularly', 'infrequent', 'obviously']
obvious : obviously = possible : possibly -> ['possible', 'obviously', 'really', 'potentially', 'sufficiently']
obvious : obviously = precise : precisely -> ['precise', 'obviously', 'accurate', 'detailed', 'precisely']
obvious : obviously = professional : professionally -> ['professional', 'semi-professional', 'professionally', 'amateur', 'non-professional']
obvious : obviously = quick : quickly -> ['quick', 'obviously', 'terribly', 'really', 'dogpile']
obvious : obviously = quiet : quietly -> ['quiet', 'cheerful', 'calm', 'carefree', 'sober']
obvious : obviously = rapid : rapidly -> ['rapid', 'steady', 'transit', 'urbanisation', 'growth']
obvious : obviously = rare : rarely -> ['rare', 'obviously', 'rarely', 'long-lived', 'seldom']
obvious : obviously = reluctant : reluctantly -> ['reluctant', 'hesitant', 'willing', 'unwilling', 'loath']
obvious : obviously = safe : safely -> ['safe', 'safer', 'obviously', 'comfortable', 'reasonably']
obvious : obviously = serious : seriously -> ['serious', 'obviously', 'certainly', 'definitely', 'seriously']
obvious : obviously = slow : slowly -> ['slow', 'fast', 'slowed', 'obviously', 'terribly']
obvious : obviously = sudden : suddenly -> ['sudden', 'obviously', 'premonitions', 'profoundly', 'terribly']
obvious : obviously = swift : swiftly -> ['swift', 'chivers', 'obviously', 'taylor', 'zachary']
obvious : obviously = typical : typically -> ['typical', 'obviously', 'generally', 'typically', 'distinctly']
obvious : obviously = unfortunate : unfortunately -> ['unfortunate', 'obviously', 'apparently', 'unfortunately', 'sadly']
obvious : obviously = usual : usually -> ['usual', 'obviously', 'generally', 'somewhat', 'considerably']
obvious : obviously = amazing : amazingly -> ['amazing', 'obviously', 'amazingly', 'awesome', 'incredible']
obvious : obviously = apparent : apparently -> ['obviously', 'apparently', 'apparent', 'evidently', 'clearly']
obvious : obviously = calm : calmly -> ['calm', 'quiet', 'calmed', 'thoughtful', 'cool']
obvious : obviously = cheerful : cheerfully -> ['cheerful', 'kind-hearted', 'fun-loving', 'good-natured', 'carefree']
obvious : obviously = complete : completely -> ['complete', 'obviously', 'fully', 'thoroughly', 'full']
obvious : obviously = efficient : efficiently -> ['efficient', 'cost-effective', 'robust', 'flexible', 'cost-efficient']
obvious : obviously = fortunate : fortunately -> ['fortunate', 'obviously', 'evidently', 'actually', 'terribly']
obvious : obviously = free : freely -> ['free', 'freely', 'non-drafted', 'obviously', 'webhost']
obvious : obviously = furious : furiously -> ['furious', 'distraught', 'infuriated', 'humiliated', 'furiously']
obvious : obviously = happy : happily -> ['happy', 'glad', 'happier', 'obviously', 'terribly']
obvious : obviously = immediate : immediately -> ['immediate', 'obviously', 'certainly', 'definitely', 'apparently']
obvious : obviously = infrequent : infrequently -> ['infrequent', 'obviously', 'infrequently', 'generally', 'occasionally']
obvious : obviously = lucky : luckily -> ['lucky', 'obviously', 'guys', 'happy', 'unlucky']
obvious : obviously = most : mostly -> ['most', 'highly', 'particularly', 'quite', 'hugely']
occasional : occasionally = possible : possibly -> ['possible', 'preferable', 'necessary', 'advisable', 'feasible']
occasional : occasionally = precise : precisely -> ['precise', 'accurately', 'precisely', 'accurate', 'often']
occasional : occasionally = professional : professionally -> ['professional', 'professionally', 'semi-professional', 'semi-pro', 'non-professional']
occasional : occasionally = quick : quickly -> ['quick', 'fast', 'slow', 'clever', 'occasionally']
occasional : occasionally = quiet : quietly -> ['quiet', 'cheerful', 'calm', 'tranquil', 'charming']
occasional : occasionally = rapid : rapidly -> ['rapid', 'slow', 'occasionally', 'interborough', 'rarely']
occasional : occasionally = rare : rarely -> ['rare', 'rarely', 'seldom', 'occasionally', 'rarer']
occasional : occasionally = reluctant : reluctantly -> ['reluctant', 'hesitant', 'unwilling', 'unable', 'willing']
occasional : occasionally = safe : safely -> ['safe', 'safer', 'safely', 'healthier', 'fiscally']
occasional : occasionally = serious : seriously -> ['serious', 'rarely', 'severe', 'occasionally', 'frequently']
occasional : occasionally = slow : slowly -> ['slow', 'fast', 'occasionally', 'slowed', 'slower']
occasional : occasionally = sudden : suddenly -> ['sudden', 'suddenly', 'convulsive', 'premature', 'palpitations']
occasional : occasionally = swift : swiftly -> ['swift', 'occasionally', 'frequently', 'taylor', 'fathead']
occasional : occasionally = typical : typically -> ['typical', 'typically', 'often', 'distinctly', 'usually']
occasional : occasionally = unfortunate : unfortunately -> ['unfortunate', 'undoubtedly', 'regrettable', 'unintentionally', 'distressing']
occasional : occasionally = usual : usually -> ['usual', 'often', 'frequently', 'usually', 'seldom']
occasional : occasionally = amazing : amazingly -> ['amazing', 'awesome', 'marvelous', 'incredible', 'technicolour']
occasional : occasionally = apparent : apparently -> ['apparent', 'evident', 'rarely', 'sometimes', 'often']
occasional : occasionally = calm : calmly -> ['calm', 'calmed', 'considerate', 'cool', 'cheerful']
occasional : occasionally = cheerful : cheerfully -> ['cheerful', 'cheery', 'mischievous', 'playful', 'fun-loving']
occasional : occasionally = complete : completely -> ['complete', 'properly', 'fully', 'successfully', 'correctly']
occasional : occasionally = efficient : efficiently -> ['efficient', 'cost-effective', 'efficiently', 'robust', 'cost-efficient']
occasional : occasionally = fortunate : fortunately -> ['fortunate', 'frequently', 'rarely', 'often', 'lucky']
occasional : occasionally = free : freely -> ['free', 'freely', 'non-drafted', 'redistributable', 'distributable']
occasional : occasionally = furious : furiously -> ['furious', 'furiously', 'distraught', 'horrified', 'infuriated']
occasional : occasionally = happy : happily -> ['happy', 'delighted', 'glad', 'happier', 'thankful']
occasional : occasionally = immediate : immediately -> ['immediate', 'rarely', 'prompt', 'seldom', 'often']
occasional : occasionally = infrequent : infrequently -> ['occasionally', 'infrequently', 'rarely', 'infrequent', 'frequently']
occasional : occasionally = lucky : luckily -> ['lucky', 'unlucky', 'fortunate', 'surprised', 'scared']
occasional : occasionally = most : mostly -> ['most', 'highly', 'second-most', 'often', 'rarely']
occasional : occasionally = obvious : obviously -> ['obvious', 'obviously', 'plainly', 'clearly', 'likely']
possible : possibly = precise : precisely -> ['precise', 'possibly', 'perhaps', 'probably', 'imprecise']
possible : possibly = professional : professionally -> ['professional', 'semi-professional', 'possibly', 'amateur', 'professionally']
possible : possibly = quick : quickly -> ['quick', 'possibly', 'perhaps', 'probably', 'clever']
possible : possibly = quiet : quietly -> ['quiet', 'reclusive', 'boisterous', 'talkative', 'laid-back']
possible : possibly = rapid : rapidly -> ['rapid', 'possibly', 'deindustrialization', 'spurt', 'urbanisation']
possible : possibly = rare : rarely -> ['rare', 'possibly', 'long-lived', 'perhaps', 'large-bodied']
possible : possibly = reluctant : reluctantly -> ['reluctant', 'hesitant', 'unwilling', 'refused', 'possibly']
possible : possibly = safe : safely -> ['safe', 'possibly', 'hospitable', 'probably', 'safer']
possible : possibly = serious : seriously -> ['serious', 'possibly', 'severe', 'perhaps', 'probably']
possible : possibly = slow : slowly -> ['slow', 'possibly', 'sluggish', 'slowed', 'lethargic']
possible : possibly = sudden : suddenly -> ['sudden', 'possibly', 'asphyxiation', 'uremia', 'overwork']
possible : possibly = swift : swiftly -> ['swift', 'possibly', 'swinhoe', 'swainson', 'dall']
possible : possibly = typical : typically -> ['typical', 'possibly', 'florid', 'characteristic', 'stereotypically']
possible : possibly = unfortunate : unfortunately -> ['unfortunate', 'possibly', 'perhaps', 'undoubtedly', 'apparently']
possible : possibly = usual : usually -> ['usual', 'possibly', 'perhaps', 'probably', 'florid']
possible : possibly = amazing : amazingly -> ['amazing', 'incredible', 'awesome', 'possibly', 'astonishing']
possible : possibly = apparent : apparently -> ['apparent', 'possibly', 'perhaps', 'apparently', 'probably']
possible : possibly = calm : calmly -> ['calm', 'calmed', 'level-headed', 'quiet', 'considerate']
possible : possibly = cheerful : cheerfully -> ['cheerful', 'talkative', 'high-spirited', 'soft-spoken', 'easy-going']
possible : possibly = complete : completely -> ['complete', 'possibly', 'probably', 'perhaps', 'incomplete']
possible : possibly = efficient : efficiently -> ['efficient', 'possibly', 'powerful', 'inefficient', 'robust']
possible : possibly = fortunate : fortunately -> ['fortunate', 'possibly', 'probably', 'unlucky', 'perhaps']
possible : possibly = free : freely -> ['free', 'possibly', 'freely', 'gratis', 'speach']
possible : possibly = furious : furiously -> ['furious', 'angry', 'enraged', 'distraught', 'infuriated']
possible : possibly = happy : happily -> ['happy', 'possibly', 'talkative', 'forever', 'proud']
possible : possibly = immediate : immediately -> ['immediate', 'possibly', 'perhaps', 'probably', 'definitely']
possible : possibly = infrequent : infrequently -> ['infrequent', 'possibly', 'occasional', 'infrequently', 'frequent']
possible : possibly = lucky : luckily -> ['lucky', 'unlucky', 'possibly', 'probably', 'crazy']
possible : possibly = most : mostly -> ['most', 'possibly', 'arguably', 'perhaps', 'probably']
possible : possibly = obvious : obviously -> ['possibly', 'obvious', 'probably', 'perhaps', 'obviously']
possible : possibly = occasional : occasionally -> ['occasional', 'possibly', 'occasionally', 'infrequent', 'frequent']
precise : precisely = professional : professionally -> ['professional', 'semi-professional', 'professionally', 'football', 'soccer']
precise : precisely = quick : quickly -> ['quick', 'precisely', 'exactly', 'really', 'basically']
precise : precisely = quiet : quietly -> ['quiet', 'precisely', 'calm', 'idyllic', 'dreary']
precise : precisely = rapid : rapidly -> ['rapid', 'suburbanization', 'deindustrialization', 'urbanization', 'precisely']
precise : precisely = rare : rarely -> ['rare', 'precisely', 'uncommon', 'rarely', 'rarest']
precise : precisely = reluctant : reluctantly -> ['reluctant', 'hesitant', 'unwilling', 'unable', 'loath']
precise : precisely = safe : safely -> ['safe', 'precisely', 'safer', 'protect', 'unsafe']
precise : precisely = serious : seriously -> ['serious', 'severe', 'precisely', 'siegenthaler', 'terrible']
precise : precisely = slow : slowly -> ['slow', 'precisely', 'slows', 'slowing', 'fast']
precise : precisely = sudden : suddenly -> ['sudden', 'happening', 'acrophobia', 'untimely', 'sickness']
precise : precisely = swift : swiftly -> ['swift', 'taylor', 'gibbon', 'jonathan', 'moore']
precise : precisely = typical : typically -> ['typical', 'precisely', 'exactly', 'unlike', 'essentially']
precise : precisely = unfortunate : unfortunately -> ['unfortunate', 'appalling', 'precisely', 'regrettable', 'embarrassing']
precise : precisely = usual : usually -> ['usual', 'precisely', 'exactly', 'basically', 'essentially']
precise : precisely = amazing : amazingly -> ['amazing', 'incredible', 'awesome', 'unbelievable', 'astonishing']
precise : precisely = apparent : apparently -> ['apparent', 'obvious', 'precisely', 'evident', 'apparently']
precise : precisely = calm : calmly -> ['calm', 'precisely', 'calmed', 'cool', 'quiet']
precise : precisely = cheerful : cheerfully -> ['cheerful', 'cheery', 'warm-hearted', 'good-hearted', 'lovable']
precise : precisely = complete : completely -> ['complete', 'precisely', 'exactly', 'essentially', 'properly']
precise : precisely = efficient : efficiently -> ['efficient', 'precisely', 'efficiently', 'inefficient', 'cost-effective']
precise : precisely = fortunate : fortunately -> ['fortunate', 'precisely', 'unlucky', 'actually', 'evidently']
precise : precisely = free : freely -> ['free', 'precisely', 'gratis', 'speach', 'essentially']
precise : precisely = furious : furiously -> ['furious', 'outraged', 'enraged', 'infuriated', 'angrily']
precise : precisely = happy : happily -> ['happy', 'glad', 'thrilled', 'pleased', 'delighted']
precise : precisely = immediate : immediately -> ['immediate', 'precisely', 'inevitable', 'exactly', 'de-sysopping']
precise : precisely = infrequent : infrequently -> ['infrequent', 'infrequently', 'precisely', 'rarely', 'occasional']
precise : precisely = lucky : luckily -> ['lucky', 'unlucky', 'precisely', 'guys', 'exactly']
precise : precisely = most : mostly -> ['most', 'particularly', 'especially', 'second-most', 'precisely']
precise : precisely = obvious : obviously -> ['obvious', 'precisely', 'clearly', 'exactly', 'obviously']
precise : precisely = occasional : occasionally -> ['occasional', 'occasionally', 'infrequent', 'occassional', 'mostly']
precise : precisely = possible : possibly -> ['possible', 'precisely', 'exactly', 'happening', 'obvious']
professional : professionally = quick : quickly -> ['quick', 'clever', 'fast', 'slow', 'snappy']
professional : professionally = quiet : quietly -> ['quiet', 'cheerful', 'calm', 'easygoing', 'reclusive']
professional : professionally = rapid : rapidly -> ['rapid', 'interborough', 'urbanization', 'professionally', 'industrialisation']
professional : professionally = rare : rarely -> ['rare', 'uncommon', 'rarer', 'modernly', 'infrequently']
professional : professionally = reluctant : reluctantly -> ['reluctant', 'hesitant', 'unwilling', 'willing', 'refused']
professional : professionally = safe : safely -> ['safe', 'safer', 'comfortable', 'professionally', 'cost-effective']
professional : professionally = serious : seriously -> ['serious', 'severe', 'life-threatening', 'professionally', 'horrendous']
professional : professionally = slow : slowly -> ['slow', 'fast', 'slowing', 'slowed', 'plodding']
professional : professionally = sudden : suddenly -> ['sudden', 'palpitations', 'convulsions', 'hailstorms', 'asphyxia']
professional : professionally = swift : swiftly -> ['swift', 'taylor', 'rutter', 'cooke', 'lowder']
professional : professionally = typical : typically -> ['typical', 'reminiscent', 'characteristic', 'characteristically', 'stereotypically']
professional : professionally = unfortunate : unfortunately -> ['unfortunate', 'embarrassing', 'unlucky', 'inexplicable', 'amusing']
professional : professionally = usual : usually -> ['usual', 'expressively', 'admirably', 'professionally', 'stringently']
professional : professionally = amazing : amazingly -> ['amazing', 'incredible', 'astonishing', 'unbelievable', 'amazingly']
professional : professionally = apparent : apparently -> ['apparent', 'obvious', 'evident', 'presumptive', 'unmistakable']
professional : professionally = calm : calmly -> ['calm', 'quiet', 'cheerful', 'cool', 'calmed']
professional : professionally = cheerful : cheerfully -> ['cheerful', 'cheery', 'lovable', 'good-natured', 'kind-hearted']
professional : professionally = complete : completely -> ['complete', 'professionally', 'meticulously', 'flawlessly', 'excellently']
professional : professionally = efficient : efficiently -> ['efficient', 'cost-effective', 'efficiently', 'inefficient', 'effective']
professional : professionally = fortunate : fortunately -> ['fortunate', 'unlucky', 'lucky', 'professionally', 'loved']
